,from,to
0,Unnamed StreamRiver 734,Stump River
1,Unnamed StreamRiver 735,Stump River
2,Lower Stump River,Stump River
3,Unnamed StreamRiver 107,Unnamed StreamRiver 808
4,Unnamed StreamRiver 740,Portage Brook
5,Beaverdam Creek,Portage Brook
6,Unnamed ArtificialPath 702,Portage Brook
7,Unnamed ArtificialPath 705,Swamp River
8,Unnamed ArtificialPath 706,Swamp River
9,Unnamed ArtificialPath 707,Swamp River
10,Unnamed ArtificialPath 708,Swamp River
11,Unnamed ArtificialPath 709,Swamp River
12,Unnamed ArtificialPath 710,Swamp River
13,Unnamed StreamRiver 763,Unnamed StreamRiver 760
14,Unnamed ArtificialPath 771,Unnamed StreamRiver 784
15,Unnamed ArtificialPath 12,Unnamed StreamRiver 784
16,Unnamed StreamRiver 780,Unnamed ArtificialPath 722
17,Unnamed ArtificialPath 721,Unnamed ArtificialPath 722
18,Unnamed ArtificialPath 804,Unnamed ArtificialPath 722
19,Unnamed StreamRiver 781,Unnamed ArtificialPath 728
20,Unnamed ArtificialPath 731,Unnamed ArtificialPath 728
21,Unnamed ArtificialPath 733,Unnamed ArtificialPath 728
22,Unnamed ArtificialPath 743,Unnamed ArtificialPath 728
23,Unnamed ArtificialPath 744,Unnamed ArtificialPath 728
24,Unnamed ArtificialPath 788,Unnamed ArtificialPath 728
25,Unnamed ArtificialPath 737,Unnamed ArtificialPath 732
26,Unnamed StreamRiver 49,Unnamed ArtificialPath 732
27,Unnamed ArtificialPath 748,Unnamed ArtificialPath 750
28,Unnamed StreamRiver 804,Unnamed ArtificialPath 753
29,Unnamed StreamRiver 806,Unnamed ArtificialPath 753
30,Unnamed ArtificialPath 775,Unnamed ArtificialPath 753
31,Unnamed ArtificialPath 714,Unnamed ArtificialPath 799
32,Unnamed ArtificialPath 718,Unnamed ArtificialPath 799
33,Unnamed StreamRiver 199,East Branch Baptism River
34,Unnamed StreamRiver 200,East Branch Baptism River
35,Unnamed StreamRiver 794,Crown Creek
36,Unnamed StreamRiver 796,Crown Creek
37,Unnamed StreamRiver 209,Crown Creek
38,Unnamed StreamRiver 210,Crown Creek
39,Unnamed StreamRiver 211,Crown Creek
40,Unnamed StreamRiver 212,Crown Creek
41,Unnamed StreamRiver 213,Unnamed StreamRiver 28
42,Heffelfinger Creek,Unnamed StreamRiver 28
43,Unnamed ArtificialPath 35,Unnamed StreamRiver 28
44,Unnamed StreamRiver 179,Sawmill Creek
45,Unnamed StreamRiver 180,Sawmill Creek
46,Unnamed ArtificialPath 451,Unnamed StreamRiver 181
47,Blesener Creek,Unnamed StreamRiver 181
